2018-09-21 13:01:08,564 - INFO - Starting Program...
2018-09-21 13:01:11,141 - INFO - n = 50
2018-09-21 13:01:11,150 - INFO - Picked <class '__main__.Multiply'>, n = 1
2018-09-21 13:01:11,150 - INFO - Picked <class '__main__.Multiply'>, n = 2
2018-09-21 13:01:11,150 - INFO - Picked <class '__main__.Multiply'>, n = 4
2018-09-21 13:01:11,150 - INFO - Picked <class '__main__.Multiply'>, n = 8
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Subtract'>, n = 16
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 16
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 32
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Add'>, n = 64
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,151 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Add'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Subtract'>, n = 64
2018-09-21 13:01:11,152 - INFO - Picked <class '__main__.Multiply'>, n = 63
2018-09-21 13:01:32,899 - INFO - Starting Program...
2018-09-21 13:01:35,548 - INFO - n = 10
2018-09-21 13:01:35,548 - INFO - Picked <class '__main__.Divide'>, n = 0
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Divide'>, n = 0
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Multiply'>, n = 0
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Multiply'>, n = 0
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Add'>, n = 0
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Add'>, n = 1
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Divide'>, n = 2
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Add'>, n = 2
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Add'>, n = 3
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Subtract'>, n = 4
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Multiply'>, n = 4
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Multiply'>, n = 8
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Subtract'>, n = 8
2018-09-21 13:01:35,549 - INFO - Picked <class '__main__.Multiply'>, n = 8
2018-09-21 13:01:35,550 - INFO - Picked <class '__main__.Divide'>, n = 8
2018-09-21 13:01:35,550 - INFO - Picked <class '__main__.Add'>, n = 8
2018-09-21 13:01:35,550 - INFO - Picked <class '__main__.Subtract'>, n = 9
2018-09-21 13:01:35,550 - INFO - Picked <class '__main__.Add'>, n = 9
2018-09-21 13:01:39,987 - INFO - Starting Program...
2018-09-21 13:01:45,012 - INFO - n = 10000
2018-09-21 13:01:45,012 - INFO - Picked <class '__main__.Multiply'>, n = 0
2018-09-21 13:01:45,012 - INFO - Picked <class '__main__.Subtract'>, n = 0
2018-09-21 13:01:45,012 - INFO - Picked <class '__main__.Multiply'>, n = 0
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Divide'>, n = 0
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Divide'>, n = 0
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Multiply'>, n = 0
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Multiply'>, n = 0
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Add'>, n = 0
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Add'>, n = 1
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Multiply'>, n = 2
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Divide'>, n = 4
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Subtract'>, n = 4
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Multiply'>, n = 4
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Multiply'>, n = 8
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Divide'>, n = 16
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Add'>, n = 16
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Add'>, n = 17
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Multiply'>, n = 18
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Add'>, n = 36
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Divide'>, n = 37
2018-09-21 13:01:45,013 - INFO - Picked <class '__main__.Divide'>, n = 37
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 37
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 74
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Add'>, n = 148
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 149
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 298
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Add'>, n = 596
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Add'>, n = 597
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 598
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Add'>, n = 1196
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Add'>, n = 1197
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 1198
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Add'>, n = 2396
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 2397
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Subtract'>, n = 4794
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 4794
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 9588
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 9588
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 9588
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Multiply'>, n = 9588
2018-09-21 13:01:45,014 - INFO - Picked <class '__main__.Divide'>, n = 9588
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9588
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Divide'>, n = 9589
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9589
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9590
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Subtract'>, n = 9591
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9591
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Multiply'>, n = 9592
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Multiply'>, n = 9592
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9592
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Multiply'>, n = 9593
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Multiply'>, n = 9593
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9593
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9594
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9595
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Multiply'>, n = 9596
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9596
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Add'>, n = 9597
2018-09-21 13:01:45,015 - INFO - Picked <class '__main__.Divide'>, n = 9598
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9598
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9598
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9599
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9600
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Divide'>, n = 9601
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9601
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9602
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9602
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9602
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9602
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9602
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9602
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9603
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9604
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Add'>, n = 9605
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9606
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Divide'>, n = 9606
2018-09-21 13:01:45,016 - INFO - Picked <class '__main__.Multiply'>, n = 9606
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9606
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9607
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9608
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9609
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9610
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9611
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Multiply'>, n = 9612
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Multiply'>, n = 9612
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9612
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9613
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9614
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Multiply'>, n = 9615
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9615
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9616
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Multiply'>, n = 9617
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Multiply'>, n = 9617
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Multiply'>, n = 9617
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Add'>, n = 9617
2018-09-21 13:01:45,017 - INFO - Picked <class '__main__.Multiply'>, n = 9618
2018-09-21 13:01:45,018 - INFO - Picked <class '__main__.Add'>, n = 9618
2018-09-21 13:01:45,018 - INFO - Picked <class '__main__.Add'>, n = 9619
2018-09-21 13:01:45,018 - INFO - Picked <class '__main__.Add'>, n = 9620
2018-09-21 13:01:45,018 - INFO - Picked <class '__main__.Multiply'>, n = 9621
